Date,Price,Ticker
2022-11-21,153.83,TGT
2022-11-22,151.64,TGT
2022-11-23,151.34,TGT
2022-11-25,156.14,TGT
2022-11-28,155.48,TGT
2022-11-29,157.03,TGT
2022-11-30,158.41,TGT
2022-12-01,158.97,TGT
2022-12-02,155.96,TGT
2022-12-05,155.55,TGT
2022-12-06,148.8,TGT
2022-12-07,146.59,TGT
2022-12-08,147.1,TGT
2022-12-09,146.5,TGT
2022-12-12,143.72,TGT
2022-12-13,146.3,TGT
2022-12-14,143.72,TGT
2022-12-15,143.11,TGT
2022-12-16,139.47,TGT
2022-12-19,140.0,TGT
2022-12-20,136.46,TGT
2022-12-21,135.85,TGT
2022-12-22,135.13,TGT
2022-12-23,134.52,TGT
2022-12-27,136.56,TGT
2022-12-28,138.77,TGT
2022-12-29,140.35,TGT
2022-12-30,140.6,TGT
2023-01-03,143.23,TGT
2023-01-04,141.58,TGT
2023-01-05,145.36,TGT
2023-01-06,150.55,TGT
2023-01-09,152.68,TGT
2023-01-10,150.33,TGT
2023-01-11,150.07,TGT
2023-01-12,152.79,TGT
2023-01-13,152.15,TGT
2023-01-17,157.08,TGT
2023-01-18,156.05,TGT
2023-01-19,152.32,TGT
2023-01-20,152.44,TGT
2023-01-23,154.91,TGT
2023-01-24,162.17,TGT
2023-01-25,155.18,TGT
2023-01-26,158.24,TGT
2023-01-27,160.43,TGT
2023-01-30,159.48,TGT
2023-01-31,160.55,TGT
2023-02-01,164.36,TGT
2023-02-02,169.71,TGT
2023-02-03,169.29,TGT
2023-02-06,166.82,TGT
2023-02-07,165.73,TGT
2023-02-08,165.71,TGT
2023-02-09,164.92,TGT
2023-02-10,162.65,TGT
2023-02-13,163.29,TGT
2023-02-14,164.85,TGT
2023-02-15,163.37,TGT
2023-02-16,167.4,TGT
2023-02-17,166.58,TGT
2023-02-21,162.9,TGT
2023-02-22,159.13,TGT
2023-02-23,159.42,TGT
2023-02-24,157.67,TGT
2023-02-27,162.08,TGT
2023-02-28,162.14,TGT
2023-03-01,161.59,TGT
2023-03-02,154.92,TGT
2023-03-03,159.66,TGT
2023-03-06,160.09,TGT
